file,music
98curitiba_2017_05_20__12_07_00.wav,1
98curitiba_2017_05_20__12_09_00.wav,1
98curitiba_2017_05_20__12_11_00.wav,1
98curitiba_2017_05_20__12_13_00.wav,1
98curitiba_2017_05_20__12_15_00.wav,1
98curitiba_2017_05_20__12_19_00.wav,1
98curitiba_2017_05_20__12_21_00.wav,1
98curitiba_2017_05_20__12_23_00.wav,1
98curitiba_2017_05_20__12_25_00.wav,1
98curitiba_2017_05_20__12_27_00.wav,1
98curitiba_2017_05_20__12_29_00.wav,1
98curitiba_2017_05_20__12_35_00.wav,1
98curitiba_2017_05_20__12_37_00.wav,1
98curitiba_2017_05_20__12_39_00.wav,1
98curitiba_2017_05_20__12_41_00.wav,1
98curitiba_2017_05_20__12_45_00.wav,1
98curitiba_2017_05_20__12_51_00.wav,1
98curitiba_2017_05_20__12_53_00.wav,1
98curitiba_2017_05_20__12_57_00.wav,1
98curitiba_2017_05_20__12_59_32.wav,1
98curitiba_2017_05_20__13_07_00.wav,1
98curitiba_2017_05_20__13_09_00.wav,1
98curitiba_2017_05_20__13_13_00.wav,1
98curitiba_2017_05_20__13_17_00.wav,1
98curitiba_2017_05_20__13_23_35.wav,1
98curitiba_2017_05_20__13_27_00.wav,1
98curitiba_2017_05_20__13_29_44.wav,1
98curitiba_2017_05_20__13_33_00.wav,1
98curitiba_2017_05_20__13_37_00.wav,1
98curitiba_2017_05_20__13_47_00.wav,1
98curitiba_2017_05_20__13_51_00.wav,1
98curitiba_2017_05_20__13_53_00.wav,1
alpha_2017_05_13__20_02_00.wav,1
alpha_2017_05_13__20_03_00.wav,1
alpha_2017_05_13__20_04_00.wav,1
alpha_2017_05_13__20_10_00.wav,1
alpha_2017_05_13__20_11_00.wav,1
alpha_2017_05_13__20_12_00.wav,1
alpha_2017_05_13__20_14_00.wav,1
alpha_2017_05_13__20_15_00.wav,1
alpha_2017_05_13__20_17_00.wav,1
alpha_2017_05_13__20_18_00.wav,1
alpha_2017_05_13__20_19_00.wav,1
alpha_2017_05_13__20_21_00.wav,1
alpha_2017_05_13__20_22_00.wav,1
alpha_2017_05_13__20_24_00.wav,1
alpha_2017_05_13__20_25_00.wav,1
alpha_2017_05_13__20_27_00.wav,1
alpha_2017_05_13__20_28_00.wav,1
alpha_2017_05_13__20_35_00.wav,1
alpha_2017_05_13__20_36_00.wav,1
alpha_2017_05_13__20_37_00.wav,1
alpha_2017_05_13__20_38_00.wav,1
alpha_2017_05_13__20_39_00.wav,1
alpha_2017_05_13__20_41_00.wav,1
alpha_2017_05_13__20_42_31.wav,1
alpha_2017_05_13__20_44_00.wav,1
alpha_2017_05_13__20_45_00.wav,1
alpha_2017_05_13__20_47_00.wav,1
alpha_2017_05_13__20_48_00.wav,1
alpha_2017_05_13__20_50_00.wav,1
alpha_2017_05_13__20_51_00.wav,1
alpha_2017_05_13__20_52_00.wav,1
alpha_2017_05_13__20_54_00.wav,1
alpha_2017_05_13__20_55_00.wav,1
alpha_2017_05_13__20_56_26.wav,1
alpha_2017_05_13__20_58_00.wav,1
alpha_2017_05_13__20_59_00.wav,1
alpha_2017_05_13__21_05_00.wav,1
alpha_2017_05_13__21_06_00.wav,1
alpha_2017_05_13__21_07_28.wav,1
alpha_2017_05_13__21_09_00.wav,1
alpha_2017_05_13__21_10_00.wav,1
alpha_2017_05_13__21_11_00.wav,1
alpha_2017_05_13__21_12_00.wav,1
alpha_2017_05_13__21_13_00.wav,1
alpha_2017_05_13__21_14_34.wav,1
alpha_2017_05_13__21_16_00.wav,1
alpha_2017_05_14__10_18_00.wav,1
alpha_2017_05_14__10_24_00.wav,1
alpha_2017_05_14__10_27_00.wav,1
alpha_2017_05_14__10_33_00.wav,1
alpha_2017_05_14__10_36_00.wav,1
alpha_2017_05_14__10_39_00.wav,1
alpha_2017_05_14__10_42_00.wav,1
alpha_2017_05_14__10_45_00.wav,1
alpha_2017_05_14__10_48_00.wav,1
alpha_2017_05_14__10_51_00.wav,1
alpha_2017_05_14__10_54_00.wav,1
alpha_2017_05_14__11_03_00.wav,1
alpha_2017_05_14__11_06_00.wav,1
alpha_2017_05_14__11_09_00.wav,1
alpha_2017_05_14__11_12_00.wav,1
alpha_2017_05_14__11_15_00.wav,1
alpha_2017_05_14__11_18_00.wav,1
alpha_2017_05_14__11_21_00.wav,1
alpha_2017_05_14__11_27_00.wav,1
alpha_2017_05_14__11_30_00.wav,1
alpha_2017_05_14__11_36_00.wav,1
alpha_2017_05_14__11_39_00.wav,1
alpha_2017_05_14__11_42_00.wav,1
alpha_2017_05_14__11_45_00.wav,1
alpha_2017_05_14__22_13_00.wav,1
alpha_2017_05_14__22_17_00.wav,1
alpha_2017_05_14__22_21_00.wav,1
alpha_2017_05_14__22_25_00.wav,1
alpha_2017_05_14__22_31_00.wav,1
alpha_2017_05_14__22_35_00.wav,1
alpha_2017_05_14__22_37_00.wav,1
alpha_2017_05_14__22_39_00.wav,1
alpha_2017_05_14__22_41_00.wav,1
alpha_2017_05_14__22_43_00.wav,1
alpha_2017_05_14__22_45_00.wav,1
alpha_2017_05_14__22_47_00.wav,1
alpha_2017_05_14__22_49_00.wav,1
alpha_2017_05_14__22_51_00.wav,1
alpha_2017_05_14__22_53_00.wav,1
alpha_2017_05_14__22_55_00.wav,1
alpha_2017_05_14__22_57_00.wav,1
alpha_2017_05_14__22_59_00.wav,1
alpha_2017_05_14__23_05_00.wav,1
