music,file,frame,lpc_mean,lpc_var
1,98curitiba_2017_05_20__12_07_00.wav,0,,
1,98curitiba_2017_05_20__12_07_00.wav,1,0.67555368208,0.01359794946329267
1,98curitiba_2017_05_20__12_07_00.wav,2,0.60611277383,0.02235735330158738
1,98curitiba_2017_05_20__12_07_00.wav,3,0.59069349638,0.01515278053137409
1,98curitiba_2017_05_20__12_07_00.wav,4,0.63753670391,0.02115558729267752
1,98curitiba_2017_05_20__12_07_00.wav,5,0.560687754588,0.02970511276484538
1,98curitiba_2017_05_20__12_07_00.wav,6,0.65445475476,0.012063433631492409
1,98curitiba_2017_05_20__12_07_00.wav,7,0.61249395898,0.013836031284754134
1,98curitiba_2017_05_20__12_07_00.wav,8,0.66778724961,0.01587406072295959
1,98curitiba_2017_05_20__12_07_00.wav,9,0.62200049945,0.02530685694384455
1,98curitiba_2017_05_20__12_07_00.wav,10,0.60300077857,0.01950271695503137
1,98curitiba_2017_05_20__12_07_00.wav,11,0.62349042662,0.00869012760951137
1,98curitiba_2017_05_20__12_07_00.wav,12,0.58113495588,0.03211603300879689
1,98curitiba_2017_05_20__12_07_00.wav,13,0.60288083816,0.039517411117143804
1,98curitiba_2017_05_20__12_07_00.wav,14,0.5183393098126,0.05094843385512499
1,98curitiba_2017_05_20__12_07_00.wav,15,0.60743664791,0.014110815148728445
1,98curitiba_2017_05_20__12_07_00.wav,16,0.63736762865,0.020531391252939915
1,98curitiba_2017_05_20__12_07_00.wav,17,0.57719174095,0.013095588673424169
1,98curitiba_2017_05_20__12_07_00.wav,18,0.73492346404,0.014222301016557736
1,98curitiba_2017_05_20__12_07_00.wav,19,0.73003426368,0.015131542105571284
1,98curitiba_2017_05_20__12_07_00.wav,20,0.60354115984,0.021675207796860062
1,98curitiba_2017_05_20__12_07_00.wav,21,0.62858219009,0.017623800098136935
1,98curitiba_2017_05_20__12_07_00.wav,22,0.61275341774,0.02394699882798638
1,98curitiba_2017_05_20__12_07_00.wav,23,0.59314751145,0.019716315796668177
1,98curitiba_2017_05_20__12_07_00.wav,24,0.60158811177,0.03321165904623235
1,98curitiba_2017_05_20__12_07_00.wav,25,0.54516590102,0.016664432659684883
1,98curitiba_2017_05_20__12_07_00.wav,26,0.67242274747,0.022326792216997557
1,98curitiba_2017_05_20__12_07_00.wav,27,0.70423294858,0.01827963946178872
1,98curitiba_2017_05_20__12_07_00.wav,28,0.67745843715,0.011843732545233646
1,98curitiba_2017_05_20__12_07_00.wav,29,0.59258922955,0.03707858244987641
