music,file,frame,mfcc_mean,mfcc_var
1,98curitiba_2017_05_20__12_07_00.wav,0,-0.099506535305,0.05331663222292024
1,98curitiba_2017_05_20__12_07_00.wav,1,-0.0807793212894,0.05923306709211951
1,98curitiba_2017_05_20__12_07_00.wav,2,0.1392563707088,0.04210420600021594
1,98curitiba_2017_05_20__12_07_00.wav,3,-0.03655008219492,0.045840253425992454
1,98curitiba_2017_05_20__12_07_00.wav,4,0.1647626944969,0.08008534673499464
1,98curitiba_2017_05_20__12_07_00.wav,5,0.3326158459961,0.06299608489547444
1,98curitiba_2017_05_20__12_07_00.wav,6,0.0350816404183,0.03204829900808996
1,98curitiba_2017_05_20__12_07_00.wav,7,-0.0914881816304,0.038776082477198895
1,98curitiba_2017_05_20__12_07_00.wav,8,-0.094858649969,0.07138126116621374
1,98curitiba_2017_05_20__12_07_00.wav,9,-0.1140906253124,0.061940707231932506
1,98curitiba_2017_05_20__12_07_00.wav,10,0.12617646144390002,0.07617343484632201
1,98curitiba_2017_05_20__12_07_00.wav,11,0.345182576579,0.04854394652940315
1,98curitiba_2017_05_20__12_07_00.wav,12,0.06472798567662,0.03824664598392852
1,98curitiba_2017_05_20__12_07_00.wav,13,0.2311131154867,0.04646997649970652
1,98curitiba_2017_05_20__12_07_00.wav,14,-0.0052940325455,0.044360225454882295
1,98curitiba_2017_05_20__12_07_00.wav,15,0.20406679716599999,0.04399331482265397
1,98curitiba_2017_05_20__12_07_00.wav,16,0.0667196878896,0.055153166554152255
1,98curitiba_2017_05_20__12_07_00.wav,17,0.0747186037875,0.04076736809652743
1,98curitiba_2017_05_20__12_07_00.wav,18,-0.1041766692875,0.07540247218492589
1,98curitiba_2017_05_20__12_07_00.wav,19,0.1671775524163,0.07144807759870683
1,98curitiba_2017_05_20__12_07_00.wav,20,0.2045575820525,0.07930375603387221
1,98curitiba_2017_05_20__12_07_00.wav,21,-0.023519274907500002,0.054187444820448086
1,98curitiba_2017_05_20__12_07_00.wav,22,-0.033620836067399996,0.04501874098224115
1,98curitiba_2017_05_20__12_07_00.wav,23,-0.139896210824,0.03317823902783441
1,98curitiba_2017_05_20__12_07_00.wav,24,-0.08205441833011,0.050067165806629975
1,98curitiba_2017_05_20__12_07_00.wav,25,-0.07903897296910001,0.03633676695615781
1,98curitiba_2017_05_20__12_07_00.wav,26,-0.01853932146568,0.059266293867588735
1,98curitiba_2017_05_20__12_07_00.wav,27,0.0486323417581,0.05356772748448867
1,98curitiba_2017_05_20__12_07_00.wav,28,-0.044860304612,0.04473993153590451
1,98curitiba_2017_05_20__12_07_00.wav,29,-0.047930044915,0.09206427550569438
1,98curitiba_2017_05_20__12_07_00.wav,30,-0.0303386118958,0.08345306101666271
1,98curitiba_2017_05_20__12_07_00.wav,31,0.20869318795904,0.05162822476520309
1,98curitiba_2017_05_20__12_07_00.wav,32,0.048572729427499996,0.06426371514134804
1,98curitiba_2017_05_20__12_07_00.wav,33,0.04095579813224,0.04102959333339549
1,98curitiba_2017_05_20__12_07_00.wav,34,0.0782970286554,0.0476592828293845
1,98curitiba_2017_05_20__12_07_00.wav,35,0.07150442078663,0.07055522524409613
1,98curitiba_2017_05_20__12_07_00.wav,36,0.1892873405575,0.06324920539904927
1,98curitiba_2017_05_20__12_07_00.wav,37,-0.0316562486739,0.03081444336481572
1,98curitiba_2017_05_20__12_07_00.wav,38,-0.272493095,0.04378463835601283
1,98curitiba_2017_05_20__12_07_00.wav,39,-0.0843758161652,0.06317179496199735
1,98curitiba_2017_05_20__12_09_00.wav,0,-0.3772489438155,0.07733479742606766
1,98curitiba_2017_05_20__12_09_00.wav,1,-0.60425258312,0.06486538366304552
1,98curitiba_2017_05_20__12_09_00.wav,2,-0.1465357359789,0.10764404391671255
1,98curitiba_2017_05_20__12_09_00.wav,3,0.2307562050707,0.03711293551397598
1,98curitiba_2017_05_20__12_09_00.wav,4,0.2094346571223,0.06384121695157609
1,98curitiba_2017_05_20__12_09_00.wav,5,0.1448537979984,0.05015259291778969
1,98curitiba_2017_05_20__12_09_00.wav,6,0.1672626991328,0.0329298491015004
1,98curitiba_2017_05_20__12_09_00.wav,7,0.14349673781743,0.042105381455270305
1,98curitiba_2017_05_20__12_09_00.wav,8,0.2317659162869,0.05129655174105674
1,98curitiba_2017_05_20__12_09_00.wav,9,-0.045265501385,0.0645553088920645
1,98curitiba_2017_05_20__12_09_00.wav,10,0.0028202514427999987,0.0786582793141303
1,98curitiba_2017_05_20__12_09_00.wav,11,0.0745404038869,0.05981796632663795
1,98curitiba_2017_05_20__12_09_00.wav,12,0.1939608455295,0.03288047637826265
1,98curitiba_2017_05_20__12_09_00.wav,13,0.2042245263161,0.04015013466760577
1,98curitiba_2017_05_20__12_09_00.wav,14,0.07508324187120001,0.06128485611025141
1,98curitiba_2017_05_20__12_09_00.wav,15,0.1836886026519,0.04981717982769668
1,98curitiba_2017_05_20__12_09_00.wav,16,0.0784102098023,0.08790425660732848
1,98curitiba_2017_05_20__12_09_00.wav,17,-0.19268116589251,0.04604544903086687
1,98curitiba_2017_05_20__12_09_00.wav,18,0.2849725101706,0.06522506159617661
1,98curitiba_2017_05_20__12_09_00.wav,19,0.236365274662085,0.05571254021179361
1,98curitiba_2017_05_20__12_09_00.wav,20,0.08714513437560001,0.03476739258791078
1,98curitiba_2017_05_20__12_09_00.wav,21,0.19849396962051,0.06167441237148196
1,98curitiba_2017_05_20__12_09_00.wav,22,0.23036336897219,0.06080241747984028
1,98curitiba_2017_05_20__12_09_00.wav,23,0.07036881508553999,0.0763926538793142
1,98curitiba_2017_05_20__12_09_00.wav,24,-0.0981338656945,0.04310978777572232
1,98curitiba_2017_05_20__12_09_00.wav,25,-0.03490631199579,0.08374018346734813
1,98curitiba_2017_05_20__12_09_00.wav,26,-0.0667139309055,0.1971253448124373
1,98curitiba_2017_05_20__12_09_00.wav,27,0.0426842589985,0.04702404886205756
1,98curitiba_2017_05_20__12_09_00.wav,28,0.086024358423,0.07884208651023869
1,98curitiba_2017_05_20__12_09_00.wav,29,0.06620224028630001,0.08556344310619791
1,98curitiba_2017_05_20__12_09_00.wav,30,-0.0706771730982,0.06658207159883314
1,98curitiba_2017_05_20__12_09_00.wav,31,-0.0706472597106,0.06348439721585417
1,98curitiba_2017_05_20__12_09_00.wav,32,-0.1487120040645,0.05497604308746422
1,98curitiba_2017_05_20__12_09_00.wav,33,0.0514676209332,0.04211097047040275
1,98curitiba_2017_05_20__12_09_00.wav,34,0.0837274507234,0.04757035485869981
1,98curitiba_2017_05_20__12_09_00.wav,35,0.0444604638451,0.05180523919747371
1,98curitiba_2017_05_20__12_09_00.wav,36,0.1174695694211,0.039709587521037606
1,98curitiba_2017_05_20__12_09_00.wav,37,-0.19466756906399998,0.11614972578091103
1,98curitiba_2017_05_20__12_09_00.wav,38,-0.43923683228,0.02132025638169647
1,98curitiba_2017_05_20__12_09_00.wav,39,-0.2888245278854,0.04762588961122651
