music,file,frame,perceptualSharpness_mean,perceptualSharpness_var
1,98curitiba_2017_05_20__12_07_00.wav,0,1.5482420395,0.11308866653784073
1,98curitiba_2017_05_20__12_07_00.wav,1,1.5536773836,0.021314779403834107
1,98curitiba_2017_05_20__12_07_00.wav,2,1.5119794047,0.03235740748115444
1,98curitiba_2017_05_20__12_07_00.wav,3,1.6463283829,0.09231035474236866
1,98curitiba_2017_05_20__12_07_00.wav,4,1.5255863867,0.025902713575070166
1,98curitiba_2017_05_20__12_07_00.wav,5,1.7446169006,0.0774046695357794
1,98curitiba_2017_05_20__12_07_00.wav,6,1.6710614423,0.07135634820333119
1,98curitiba_2017_05_20__12_07_00.wav,7,1.6903745341,0.06370024947175469
1,98curitiba_2017_05_20__12_07_00.wav,8,1.5967393732,0.09089426213546381
1,98curitiba_2017_05_20__12_07_00.wav,9,1.6352855962,0.05447679544981049
1,98curitiba_2017_05_20__12_07_00.wav,10,1.6987940443,0.07566869293195168
1,98curitiba_2017_05_20__12_07_00.wav,11,1.6231882962,0.014821681666404614
1,98curitiba_2017_05_20__12_07_00.wav,12,1.6177622476,0.021895824469652894
1,98curitiba_2017_05_20__12_07_00.wav,13,1.6069581194,0.07437374981701535
1,98curitiba_2017_05_20__12_07_00.wav,14,1.5216655294,0.058459749960500525
1,98curitiba_2017_05_20__12_07_00.wav,15,1.6623343193,0.02993091792189603
1,98curitiba_2017_05_20__12_07_00.wav,16,1.6830789259,0.02150012351710213
1,98curitiba_2017_05_20__12_07_00.wav,17,1.6784405683,0.015708614441806778
1,98curitiba_2017_05_20__12_07_00.wav,18,1.5746485107,0.015656692577851093
1,98curitiba_2017_05_20__12_07_00.wav,19,1.6364751842,0.01318768670723992
1,98curitiba_2017_05_20__12_07_00.wav,20,1.7451349735,0.0595551661014146
1,98curitiba_2017_05_20__12_07_00.wav,21,1.674007379,0.11535495419583247
1,98curitiba_2017_05_20__12_07_00.wav,22,1.5585302204,0.036051152742106185
1,98curitiba_2017_05_20__12_07_00.wav,23,1.7399413304,0.13779021299710162
1,98curitiba_2017_05_20__12_07_00.wav,24,1.8147553043,0.1333110452931009
1,98curitiba_2017_05_20__12_07_00.wav,25,1.6651076504,0.018340065252463712
1,98curitiba_2017_05_20__12_07_00.wav,26,1.5778423964,0.028074783080086287
1,98curitiba_2017_05_20__12_07_00.wav,27,1.4972213562,0.023026963883639052
1,98curitiba_2017_05_20__12_07_00.wav,28,1.5885082667,0.01189856730294685
1,98curitiba_2017_05_20__12_07_00.wav,29,1.7282326297,0.057018320893844655
1,98curitiba_2017_05_20__12_07_00.wav,30,1.6048886443,0.025082675686940458
1,98curitiba_2017_05_20__12_07_00.wav,31,1.5778815897,0.011050150943064642
1,98curitiba_2017_05_20__12_07_00.wav,32,1.6496709026,0.010564085802357771
1,98curitiba_2017_05_20__12_07_00.wav,33,1.5480548743,0.02319731382433051
1,98curitiba_2017_05_20__12_07_00.wav,34,1.5695895797,0.022779818815799817
1,98curitiba_2017_05_20__12_07_00.wav,35,1.6452294043,0.07007032342920406
1,98curitiba_2017_05_20__12_07_00.wav,36,1.6474653672,0.01944315581922039
1,98curitiba_2017_05_20__12_07_00.wav,37,1.4841274995,0.026114271057598653
1,98curitiba_2017_05_20__12_07_00.wav,38,1.4965235489,0.023714573001901884
1,98curitiba_2017_05_20__12_07_00.wav,39,1.7584182469,0.05585051718730599
1,98curitiba_2017_05_20__12_09_00.wav,0,1.3566650461,0.16909664592111298
1,98curitiba_2017_05_20__12_09_00.wav,1,1.318667536,0.007769583123623355
1,98curitiba_2017_05_20__12_09_00.wav,2,1.4160502782,0.021312322328970713
1,98curitiba_2017_05_20__12_09_00.wav,3,1.9067663025,0.032443792783939815
1,98curitiba_2017_05_20__12_09_00.wav,4,2.0504715404,0.0901283109245583
1,98curitiba_2017_05_20__12_09_00.wav,5,1.9074409879,0.0806284056277666
1,98curitiba_2017_05_20__12_09_00.wav,6,1.6259222482,0.04804056216129744
1,98curitiba_2017_05_20__12_09_00.wav,7,1.5753520747,0.016864430228367932
1,98curitiba_2017_05_20__12_09_00.wav,8,1.5759032992,0.08068058396442791
1,98curitiba_2017_05_20__12_09_00.wav,9,1.6615453223,0.11465764506294787
1,98curitiba_2017_05_20__12_09_00.wav,10,1.642140691,0.07828304993851182
1,98curitiba_2017_05_20__12_09_00.wav,11,1.6587901469,0.09992764269848378
1,98curitiba_2017_05_20__12_09_00.wav,12,1.5365012813,0.03415182528309923
1,98curitiba_2017_05_20__12_09_00.wav,13,1.5727781153,0.061411867749140106
1,98curitiba_2017_05_20__12_09_00.wav,14,1.5890784638,0.06061238745252358
1,98curitiba_2017_05_20__12_09_00.wav,15,1.5835277016,0.040572905163863415
1,98curitiba_2017_05_20__12_09_00.wav,16,1.5949174307,0.08446142993477633
1,98curitiba_2017_05_20__12_09_00.wav,17,1.6310857891,0.10476891885611224
1,98curitiba_2017_05_20__12_09_00.wav,18,1.5983937783,0.062192263690873696
1,98curitiba_2017_05_20__12_09_00.wav,19,1.5455929218,0.04091313814683773
1,98curitiba_2017_05_20__12_09_00.wav,20,1.4721107252,0.01110695015259962
1,98curitiba_2017_05_20__12_09_00.wav,21,1.4990719515,0.011154529444393194
1,98curitiba_2017_05_20__12_09_00.wav,22,1.6098205369,0.06708447504886283
1,98curitiba_2017_05_20__12_09_00.wav,23,1.5307496455,0.08657322309472847
1,98curitiba_2017_05_20__12_09_00.wav,24,1.5837848328,0.04697324465506808
1,98curitiba_2017_05_20__12_09_00.wav,25,1.5518183785,0.0557875575269698
1,98curitiba_2017_05_20__12_09_00.wav,26,1.5263636849,0.04235392381241162
1,98curitiba_2017_05_20__12_09_00.wav,27,1.5157692344,0.020299481275787023
1,98curitiba_2017_05_20__12_09_00.wav,28,1.577975661,0.015377480190653875
1,98curitiba_2017_05_20__12_09_00.wav,29,1.4708721467,0.021226409574802242
1,98curitiba_2017_05_20__12_09_00.wav,30,1.5379814398,0.022620251922978035
1,98curitiba_2017_05_20__12_09_00.wav,31,1.5350409151,0.046499269440954005
1,98curitiba_2017_05_20__12_09_00.wav,32,1.5129998567,0.010467400597680419
1,98curitiba_2017_05_20__12_09_00.wav,33,1.4865774068,0.027395490840661157
1,98curitiba_2017_05_20__12_09_00.wav,34,1.543673549,0.009328775476536448
1,98curitiba_2017_05_20__12_09_00.wav,35,1.4560357228,0.004460481055278577
1,98curitiba_2017_05_20__12_09_00.wav,36,1.4850163472,0.007288301721388951
1,98curitiba_2017_05_20__12_09_00.wav,37,1.5708702344,0.05473009665368871
1,98curitiba_2017_05_20__12_09_00.wav,38,1.475343477,0.004081986421588068
1,98curitiba_2017_05_20__12_09_00.wav,39,1.4936985044,0.00478828806499672
1,98curitiba_2017_05_20__12_11_00.wav,0,1.603273626,0.1505990871997133
1,98curitiba_2017_05_20__12_11_00.wav,1,1.5246013848,0.017801898343831616
