music,file,frame,spectralRollof_0_mean,spectralRollof_0_var
1,98curitiba_2017_05_20__12_07_00.wav,0,4385.5,13669509.848484848
1,98curitiba_2017_05_20__12_07_00.wav,1,4391.5,3261568.4343434344
1,98curitiba_2017_05_20__12_07_00.wav,2,3757.5,4329463.3838383835
1,98curitiba_2017_05_20__12_07_00.wav,3,4470.0,12589444.444444444
1,98curitiba_2017_05_20__12_07_00.wav,4,3373.0,4006637.373737374
1,98curitiba_2017_05_20__12_07_00.wav,5,5132.0,11278915.151515152
1,98curitiba_2017_05_20__12_07_00.wav,6,4738.0,7743541.414141414
1,98curitiba_2017_05_20__12_07_00.wav,7,4945.5,7815863.3838383835
1,98curitiba_2017_05_20__12_07_00.wav,8,3929.5,7191570.454545454
1,98curitiba_2017_05_20__12_07_00.wav,9,4351.0,8002271.717171717
1,98curitiba_2017_05_20__12_07_00.wav,10,4609.5,9067509.848484848
1,98curitiba_2017_05_20__12_07_00.wav,11,4452.5,3162190.6565656564
1,98curitiba_2017_05_20__12_07_00.wav,12,3548.0,3437925.2525252528
1,98curitiba_2017_05_20__12_07_00.wav,13,4308.0,11131450.505050505
1,98curitiba_2017_05_20__12_07_00.wav,14,3575.5,11713206.818181818
1,98curitiba_2017_05_20__12_07_00.wav,15,4717.0,6283445.454545454
1,98curitiba_2017_05_20__12_07_00.wav,16,5129.5,4532025.0
1,98curitiba_2017_05_20__12_07_00.wav,17,5233.5,4188083.585858586
1,98curitiba_2017_05_20__12_07_00.wav,18,3794.0,2708650.505050505
1,98curitiba_2017_05_20__12_07_00.wav,19,4333.5,2533538.131313131
1,98curitiba_2017_05_20__12_07_00.wav,20,5453.0,8737162.626262626
1,98curitiba_2017_05_20__12_07_00.wav,21,4254.0,9651448.484848484
1,98curitiba_2017_05_20__12_07_00.wav,22,3630.0,5649242.424242424
1,98curitiba_2017_05_20__12_07_00.wav,23,5327.5,12760119.949494949
1,98curitiba_2017_05_20__12_07_00.wav,24,6213.5,15567972.474747475
1,98curitiba_2017_05_20__12_07_00.wav,25,4311.5,5106204.797979798
1,98curitiba_2017_05_20__12_07_00.wav,26,3293.0,4140657.5757575757
1,98curitiba_2017_05_20__12_07_00.wav,27,3183.0,2820718.1818181816
1,98curitiba_2017_05_20__12_07_00.wav,28,3707.0,2456516.1616161615
1,98curitiba_2017_05_20__12_07_00.wav,29,5435.0,9351843.434343435
1,98curitiba_2017_05_20__12_07_00.wav,30,3627.0,5548758.585858586
1,98curitiba_2017_05_20__12_07_00.wav,31,3474.5,2533105.8080808083
1,98curitiba_2017_05_20__12_07_00.wav,32,4242.5,2996584.595959596
1,98curitiba_2017_05_20__12_07_00.wav,33,3217.0,3228849.494949495
1,98curitiba_2017_05_20__12_07_00.wav,34,3317.5,4421685.606060606
1,98curitiba_2017_05_20__12_07_00.wav,35,4505.5,9595954.292929294
1,98curitiba_2017_05_20__12_07_00.wav,36,4716.5,4065356.3131313133
1,98curitiba_2017_05_20__12_07_00.wav,37,3447.0,2896657.5757575757
1,98curitiba_2017_05_20__12_07_00.wav,38,3489.5,2200368.4343434344
1,98curitiba_2017_05_20__12_07_00.wav,39,6189.5,13109711.868686868
1,98curitiba_2017_05_20__12_09_00.wav,0,2646.5,15746780.555555556
1,98curitiba_2017_05_20__12_09_00.wav,1,2007.5,241938.1313131313
1,98curitiba_2017_05_20__12_09_00.wav,2,2021.0,796574.7474747475
1,98curitiba_2017_05_20__12_09_00.wav,3,8742.0,7880844.444444444
1,98curitiba_2017_05_20__12_09_00.wav,4,8102.0,14528783.838383839
1,98curitiba_2017_05_20__12_09_00.wav,5,6785.0,10804823.232323233
1,98curitiba_2017_05_20__12_09_00.wav,6,4221.0,10654403.030303031
1,98curitiba_2017_05_20__12_09_00.wav,7,3933.0,2276223.232323232
1,98curitiba_2017_05_20__12_09_00.wav,8,3677.0,7805879.797979798
1,98curitiba_2017_05_20__12_09_00.wav,9,4523.0,8095425.252525252
1,98curitiba_2017_05_20__12_09_00.wav,10,4705.0,7664368.686868687
1,98curitiba_2017_05_20__12_09_00.wav,11,4758.0,9354026.262626262
1,98curitiba_2017_05_20__12_09_00.wav,12,3851.0,2588887.878787879
1,98curitiba_2017_05_20__12_09_00.wav,13,4283.5,8089598.737373738
1,98curitiba_2017_05_20__12_09_00.wav,14,4078.0,5869258.585858586
1,98curitiba_2017_05_20__12_09_00.wav,15,4440.0,5788333.333333333
1,98curitiba_2017_05_20__12_09_00.wav,16,4051.0,4451716.161616161
1,98curitiba_2017_05_20__12_09_00.wav,17,4773.0,7183203.03030303
1,98curitiba_2017_05_20__12_09_00.wav,18,4131.0,7411857.575757576
1,98curitiba_2017_05_20__12_09_00.wav,19,4140.5,5855893.686868687
1,98curitiba_2017_05_20__12_09_00.wav,20,3778.5,674911.8686868687
1,98curitiba_2017_05_20__12_09_00.wav,21,2905.5,2383126.01010101
1,98curitiba_2017_05_20__12_09_00.wav,22,4673.5,6238962.373737373
1,98curitiba_2017_05_20__12_09_00.wav,23,4258.0,7511349.4949494945
1,98curitiba_2017_05_20__12_09_00.wav,24,4631.0,5257160.606060606
1,98curitiba_2017_05_20__12_09_00.wav,25,4180.5,4165348.232323232
1,98curitiba_2017_05_20__12_09_00.wav,26,4015.5,4020792.6767676766
1,98curitiba_2017_05_20__12_09_00.wav,27,3949.5,2294469.4444444445
1,98curitiba_2017_05_20__12_09_00.wav,28,3877.5,2748806.8181818184
1,98curitiba_2017_05_20__12_09_00.wav,29,3565.0,2127904.0404040404
1,98curitiba_2017_05_20__12_09_00.wav,30,4071.0,3134504.0404040404
1,98curitiba_2017_05_20__12_09_00.wav,31,4090.5,5156853.282828283
1,98curitiba_2017_05_20__12_09_00.wav,32,3989.5,642893.6868686868
1,98curitiba_2017_05_20__12_09_00.wav,33,3250.5,2842600.757575758
1,98curitiba_2017_05_20__12_09_00.wav,34,3610.5,1130873.4848484849
1,98curitiba_2017_05_20__12_09_00.wav,35,3559.5,940641.1616161616
1,98curitiba_2017_05_20__12_09_00.wav,36,3570.0,1140757.5757575757
1,98curitiba_2017_05_20__12_09_00.wav,37,4458.5,7196719.94949495
1,98curitiba_2017_05_20__12_09_00.wav,38,3774.5,210227.0202020202
1,98curitiba_2017_05_20__12_09_00.wav,39,3732.0,414672.7272727273
1,98curitiba_2017_05_20__12_11_00.wav,0,4917.5,15406231.06060606
1,98curitiba_2017_05_20__12_11_00.wav,1,3976.5,1489063.383838384
1,98curitiba_2017_05_20__12_11_00.wav,2,2146.0,1574226.2626262626
1,98curitiba_2017_05_20__12_11_00.wav,3,4607.0,2844647.474747475
1,98curitiba_2017_05_20__12_11_00.wav,4,5305.5,7168378.535353536
1,98curitiba_2017_05_20__12_11_00.wav,5,3893.0,865859.595959596
1,98curitiba_2017_05_20__12_11_00.wav,6,3778.0,3385117.1717171716
1,98curitiba_2017_05_20__12_11_00.wav,7,3621.0,4592079.797979798
1,98curitiba_2017_05_20__12_11_00.wav,8,3029.0,4018392.9292929294
1,98curitiba_2017_05_20__12_11_00.wav,9,3746.0,567711.1111111111
1,98curitiba_2017_05_20__12_11_00.wav,10,3350.0,6472323.232323232
1,98curitiba_2017_05_20__12_11_00.wav,11,2957.5,4113604.797979798
1,98curitiba_2017_05_20__12_11_00.wav,12,3149.0,2263332.3232323234
1,98curitiba_2017_05_20__12_11_00.wav,13,4299.5,813812.8787878788
1,98curitiba_2017_05_20__12_11_00.wav,14,4407.5,3618554.292929293
1,98curitiba_2017_05_20__12_11_00.wav,15,4296.5,728497.7272727273
1,98curitiba_2017_05_20__12_11_00.wav,16,6774.5,1143661.3636363635
1,98curitiba_2017_05_20__12_11_00.wav,17,7861.5,4826911.868686869
1,98curitiba_2017_05_20__12_11_00.wav,18,5522.0,10641177.777777778
1,98curitiba_2017_05_20__12_11_00.wav,19,2422.5,1857847.2222222222
1,98curitiba_2017_05_20__12_11_00.wav,20,4662.0,3601723.232323232
1,98curitiba_2017_05_20__12_11_00.wav,21,3603.0,3015091.9191919193
1,98curitiba_2017_05_20__12_11_00.wav,22,2871.5,1532235.101010101
1,98curitiba_2017_05_20__12_11_00.wav,23,3303.5,2064154.292929293
1,98curitiba_2017_05_20__12_11_00.wav,24,3835.0,4909924.242424242
1,98curitiba_2017_05_20__12_11_00.wav,25,3612.0,3182228.282828283
